trade,distance,border,bin375,bin750,bin1500,bin3000,bin6000,binmax,distbin,importer,exporter,sharedlanguage,europeancom,efta,trademodel
-7.41,9891.0,0,0,0,0,0,0,1,6.0,1,2,0,0,0,-7.6771245943290625
-10.074,10389.0,0,0,0,0,0,0,1,6.0,1,3,0,0,0,-9.85089086933472
-5.826,10009.0,0,0,0,0,0,0,1,6.0,1,4,1,0,0,-5.593632973961082
-8.206,9968.0,0,0,0,0,0,0,1,6.0,1,5,0,0,0,-8.264871009142318
-6.461,9453.0,0,0,0,0,0,0,1,6.0,1,6,0,0,0,-7.037738753287995
-5.176,10517.0,0,0,0,0,0,0,1,6.0,1,7,0,0,0,-5.233887209128669
-3.918,9987.0,0,0,0,0,0,0,1,6.0,1,8,0,0,0,-4.162514949580833
-9.092,9450.0,0,0,0,0,0,0,1,6.0,1,9,0,0,0,-9.328887280779638
-4.528,10073.0,0,0,0,0,0,0,1,6.0,1,10,0,0,0,-4.7337627277270276
-2.04,4924.0,0,0,0,0,0,1,0,5.0,1,11,0,0,0,-1.8219240426064238
-8.801,10334.0,0,0,0,0,0,0,1,6.0,1,12,0,0,0,-8.704473809226933
-4.96,1443.0,0,0,0,1,0,0,0,3.0,1,13,1,0,0,-4.677358634337568
-8.137,9927.0,0,0,0,0,0,0,1,6.0,1,14,0,0,0,-7.861425970606504
-8.985,11221.0,0,0,0,0,0,0,1,6.0,1,15,0,0,0,-8.088463657873364
-6.688,10924.0,0,0,0,0,0,0,1,6.0,1,16,0,0,0,-6.212183966639028
-5.886,9699.0,0,0,0,0,0,0,1,6.0,1,17,0,0,0,-6.505454913364704
-4.04,769.0,0,0,0,0,0,0,1,6.0,1,18,1,0,0,-4.631021449560182
-2.179,9389.0,0,0,0,0,0,0,1,6.0,1,19,1,0,0,-2.0214729709667028
-7.942,9891.0,0,0,0,0,0,0,1,6.0,2,1,0,0,0,-6.882935944970951
-7.083,570.0,0,0,1,0,0,0,0,2.0,2,3,0,0,0,-7.518121764212683
-5.732,4091.0,0,0,0,0,0,1,0,5.0,2,4,0,0,0,-6.16937587833876
-6.113,545.0,0,0,1,0,0,0,0,2.0,2,5,0,0,0,-5.932101904020279
-4.788,894.0,0,0,0,1,0,0,0,3.0,2,6,0,0,1,-4.536353607588486
-2.866,645.0,0,0,1,0,0,0,0,2.0,2,7,0,0,0,-2.9011181040066303
-0.258,326.0,1,1,0,0,0,0,0,1.0,2,8,1,0,0,-0.45260151186578834
-6.428,795.0,0,0,0,1,0,0,0,3.0,2,9,0,0,0,-7.3635730603226
-1.721,475.0,1,0,1,0,0,0,0,2.0,2,10,0,0,0,-2.0974300612782657
-1.935,5687.0,0,0,0,0,0,1,0,5.0,2,11,0,0,0,-2.382147533161849
-6.212,583.0,0,0,1,0,0,0,0,2.0,2,12,0,0,0,-6.3717047041048955
-9.063,11276.0,0,0,0,0,0,0,1,6.0,2,13,0,0,0,-8.273200248935808
-6.198,842.0,0,0,0,1,0,0,0,3.0,2,14,0,0,1,-5.3600408249069975
-5.654,1429.0,0,0,0,1,0,0,0,3.0,2,15,0,0,0,-6.123149437416327
-4.246,1126.0,0,0,0,1,0,0,0,3.0,2,16,0,0,0,-4.246869746181989
-4.205,775.0,0,0,0,1,0,0,0,3.0,2,17,0,0,1,-4.004069767665197
-3.385,769.0,0,0,0,1,0,0,0,3.0,2,18,0,0,0,-3.1757876421334914
-2.559,4700.0,0,0,0,0,0,1,0,5.0,2,19,0,0,0,-2.5972158753443804
-1.291,10389.0,0,0,0,0,0,0,1,6.0,3,1,0,0,0,-1.9106364888191372
-0.484,570.0,0,0,1,0,0,0,0,2.0,3,2,0,0,0,-0.372056033055211
-1.074,3535.0,0,0,0,0,0,1,0,5.0,3,4,0,0,0,-1.1970764221869463
-1.593,475.0,0,0,1,0,0,0,0,2.0,3,5,0,1,0,-0.9238905935316796
-0.44,1025.0,0,0,0,1,0,0,0,3.0,3,6,0,0,0,-0.10012507667914344
3.099,165.0,1,1,0,0,0,0,0,1.0,3,7,1,1,0,3.484237539074974
3.758,403.0,1,0,1,0,0,0,0,2.0,3,8,0,1,0,3.482029027356527
-2.722,1298.0,0,0,0,1,0,0,0,3.0,3,9,0,1,0,-2.3553617498340005
2.329,735.0,0,0,1,0,0,0,0,2.0,3,10,0,1,0,2.6072176878836113
2.167,5887.0,0,0,0,0,0,1,0,5.0,3,11,0,0,0,2.5901519229899637
0.254,106.0,1,1,0,0,0,0,0,1.0,3,12,0,1,0,-0.4964294740536391
-2.502,11626.0,0,0,0,0,0,0,1,6.0,3,13,0,0,0,-3.3009007927839935
-0.755,675.0,0,0,1,0,0,0,0,2.0,3,14,0,0,0,-0.5563574093326519
-1.272,1064.0,0,0,0,1,0,0,0,3.0,3,15,0,1,0,-1.1149381269277276
0.889,817.0,0,0,0,1,0,0,0,3.0,3,16,0,1,0,0.7613415643066088
0.69,798.0,0,0,0,1,0,0,0,3.0,3,17,0,0,0,0.4321587632441465
2.381,199.0,0,1,0,0,0,0,0,1.0,3,18,0,1,0,2.7633789112560425
2.734,4153.0,0,0,0,0,0,1,0,5.0,3,19,0,0,0,2.375083580807432
-5.926,10009.0,0,0,0,0,0,0,1,6.0,4,1,1,0,0,-5.579255983360711
-6.502,4091.0,0,0,0,0,0,1,0,5.0,4,2,0,0,0,-6.949187537096502
-9.442,3535.0,0,0,0,0,0,1,0,5.0,4,3,0,0,0,-9.122953812102159
-7.796,3675.0,0,0,0,0,0,1,0,5.0,4,5,0,0,0,-7.536933951909756
-6.096,3906.0,0,0,0,0,0,1,0,5.0,4,6,0,0,0,-6.309801696055432
-4.037,3519.0,0,0,0,0,0,1,0,5.0,4,7,0,0,0,-4.505950151896108
-3.429,3816.0,0,0,0,0,0,1,0,5.0,4,8,0,0,0,-3.434577892348271
-8.851,4822.0,0,0,0,0,0,1,0,5.0,4,9,0,0,0,-8.600950223547075
-3.958,4198.0,0,0,0,0,0,1,0,5.0,4,10,0,0,0,-4.005825670494465
-1.71,6429.0,0,0,0,0,0,0,1,6.0,4,11,0,0,0,-2.0831089837900554
-8.334,3508.0,0,0,0,0,0,1,0,5.0,4,12,0,0,0,-7.976536751994372
-7.006,8994.0,0,0,0,0,0,0,1,6.0,4,13,1,0,0,-6.969520287325567
-6.036,3486.0,0,0,0,0,0,1,0,5.0,4,14,0,0,0,-7.133488913373942
-7.789,3358.0,0,0,0,0,0,1,0,5.0,4,15,0,0,0,-7.360526600640801
-5.585,3543.0,0,0,0,0,0,1,0,5.0,4,16,0,0,0,-5.484246909406466
-5.499,3731.0,0,0,0,0,0,1,0,5.0,4,17,0,0,0,-5.7775178561321425
-3.597,3341.0,0,0,0,0,0,1,0,5.0,4,18,1,0,0,-3.9030843923276204
0.268,648.0,1,0,1,0,0,0,0,2.0,4,19,1,0,0,1.4084592440619492
-5.3,9968.0,0,0,0,0,0,0,1,6.0,5,1,0,0,0,-5.1226640483450625
-3.564,545.0,0,0,1,0,0,0,0,2.0,5,2,0,0,0,-3.584083592581137
-5.879,475.0,0,0,1,0,0,0,0,2.0,5,3,0,1,0,-5.721938013250009
-5.023,3675.0,0,0,0,0,0,1,0,5.0,5,4,0,0,0,-4.409103981712873
-2.173,550.0,0,0,1,0,0,0,0,2.0,5,6,0,0,0,-2.944697751540069
-1.49,639.0,0,0,1,0,0,0,0,2.0,5,7,0,1,0,-1.1049343530439582
0.177,224.0,1,1,0,0,0,0,0,1.0,5,8,0,1,0,0.8335018260665358
-5.603,1330.0,0,0,0,1,0,0,0,3.0,5,9,0,1,0,-5.5673893093599265
-1.362,957.0,0,0,0,1,0,0,0,3.0,5,10,0,1,0,-0.9722647563073168
-0.871,5416.0,0,0,0,0,0,1,0,5.0,5,11,0,0,0,-0.6218756365359625
-4.295,386.0,0,0,1,0,0,0,0,2.0,5,12,0,1,0,-4.575520953142222
-6.315,11152.0,0,0,0,0,0,0,1,6.0,5,13,0,0,0,-6.5129283523099195
-2.503,299.0,0,1,0,0,0,0,0,1.0,5,14,0,0,0,-3.204884610622644
-3.735,1539.0,0,0,0,0,1,0,0,4.0,5,15,0,1,0,-4.511647582609076
-2.995,1287.0,0,0,0,1,0,0,0,3.0,5,16,0,1,0,-2.4506859952193176
-1.227,327.0,0,1,0,0,0,0,0,1.0,5,17,0,0,0,-1.8489135533808438
-1.167,592.0,0,0,1,0,0,0,0,2.0,5,18,0,1,0,-1.0121490065058185
-0.845,4259.0,0,0,0,0,0,1,0,5.0,5,19,0,0,0,-0.836943978718494
-8.434,9453.0,0,0,0,0,0,0,1,6.0,6,1,0,0,0,-7.1783945842541526
-5.433,894.0,0,0,0,1,0,0,0,3.0,6,2,0,0,1,-5.471198087912758
-8.061,1025.0,0,0,0,1,0,0,0,3.0,6,3,0,0,0,-8.181035288160885
-6.184,3906.0,0,0,0,0,0,1,0,5.0,6,4,0,0,0,-6.464834517621963
-5.363,550.0,0,0,1,0,0,0,0,2.0,6,5,0,0,0,-6.227560543303482
-3.717,1188.0,0,0,0,1,0,0,0,3.0,6,7,0,0,0,-3.5640316279548347
-2.088,689.0,0,0,1,0,0,0,0,2.0,6,8,0,0,0,-2.125204483741997
-7.63,1531.0,0,0,0,0,1,0,0,4.0,6,9,0,0,0,-7.843713595761224
-3.251,1368.0,0,0,0,1,0,0,0,3.0,6,10,0,0,0,-3.063907146553193
-2.485,4873.0,0,0,0,0,0,1,0,5.0,6,11,0,0,0,-2.6776061724450524
-6.972,936.0,0,0,0,1,0,0,0,3.0,6,12,0,0,0,-7.034618228053099
-9.903,10604.0,0,0,0,0,0,0,1,6.0,6,13,0,0,0,-8.568658888219009
-4.888,491.0,0,0,1,0,0,0,0,2.0,6,14,0,0,1,-5.288044579525198
-5.861,2089.0,0,0,0,0,1,0,0,4.0,6,15,0,0,0,-6.603289972854951
-5.084,1832.0,0,0,0,0,1,0,0,4.0,6,16,0,0,0,-4.727010281620615
-3.043,246.0,1,1,0,0,0,0,0,1.0,6,17,0,0,1,-3.0650096027207416
-3.28,1133.0,0,0,0,1,0,0,0,3.0,6,18,0,0,0,-3.4712462814166956
-2.771,4442.0,0,0,0,0,0,1,0,5.0,6,19,0,0,0,-2.892674514627584
-7.158,10517.0,0,0,0,0,0,0,1,6.0,7,1,0,0,0,-7.429463979478641
-6.104,645.0,0,0,1,0,0,0,0,2.0,7,2,0,0,0,-5.890883523714713
-7.051,165.0,1,1,0,0,0,0,0,1.0,7,3,1,1,0,-6.65159361179058
-6.573,3519.0,0,0,0,0,0,1,0,5.0,7,4,0,0,0,-6.71590391284645
-6.969,639.0,0,0,1,0,0,0,0,2.0,7,5,0,1,0,-6.442718084191182
-5.763,1188.0,0,0,0,1,0,0,0,3.0,7,6,0,0,0,-5.6189525673386465
-2.099,545.0,1,0,1,0,0,0,0,2.0,7,8,0,1,0,-2.036798463302977
-7.593,1303.0,0,0,0,1,0,0,0,3.0,7,9,0,1,0,-7.874189240493504
-2.508,694.0,1,0,1,0,0,0,0,2.0,7,10,0,1,0,-2.6080462414491703
-3.183,6052.0,0,0,0,0,0,0,1,6.0,7,11,0,0,0,-3.4232365668776357
-6.688,266.0,0,1,0,0,0,0,0,1.0,7,12,0,1,0,-6.318820526039864
-8.785,11791.0,0,0,0,0,0,0,1,6.0,7,13,0,0,0,-8.819728283443496
-6.379,836.0,0,0,0,1,0,0,0,3.0,7,14,0,0,0,-6.442639784657157
-5.952,902.0,0,0,0,1,0,0,0,3.0,7,15,0,1,0,-6.633765617587231
-3.56,652.0,1,0,1,0,0,0,0,2.0,7,16,0,1,0,-4.08646748036117
-5.445,963.0,0,0,0,1,0,0,0,3.0,7,17,0,0,0,-5.086668727415357
-3.4,213.0,0,1,0,0,0,0,0,1.0,7,18,0,1,0,-2.75544857940346
-2.769,4146.0,0,0,0,0,0,1,0,5.0,7,19,0,0,0,-3.1437439098520703
-7.381,9987.0,0,0,0,0,0,0,1,6.0,8,1,0,0,0,-7.720318343791794
-4.925,326.0,1,1,0,0,0,0,0,1.0,8,2,1,0,0,-4.804593555434863
-7.671,403.0,1,0,1,0,0,0,0,2.0,8,3,0,1,0,-8.016028747370019
-6.875,3816.0,0,0,0,0,0,1,0,5.0,8,4,0,0,0,-7.006758277159603
-6.632,224.0,1,1,0,0,0,0,0,1.0,8,5,0,1,0,-5.86650852894168
-5.896,689.0,0,0,1,0,0,0,0,2.0,8,6,0,0,0,-5.542352046986799
-3.464,545.0,1,0,1,0,0,0,0,2.0,8,7,0,1,0,-3.399025087163967
-7.299,1119.0,0,0,0,1,0,0,0,3.0,8,9,0,1,0,-8.165043604806657
-3.159,736.0,1,0,1,0,0,0,0,2.0,8,10,0,1,0,-2.8989006057623246
-3.087,5558.0,0,0,0,0,0,1,0,5.0,8,11,0,0,0,-3.2195299319826938
-6.507,358.0,1,1,0,0,0,0,0,1.0,8,12,0,1,0,-6.306111329026296
-8.889,11266.0,0,0,0,0,0,0,1,6.0,8,13,0,0,0,-9.110582647756651
-6.55,523.0,0,0,1,0,0,0,0,2.0,8,14,0,0,0,-6.366039264305309
-6.682,1435.0,0,0,0,1,0,0,0,3.0,8,15,0,1,0,-6.924619981900385
-4.746,1159.0,0,0,0,1,0,0,0,3.0,8,16,0,1,0,-5.048340290666048
-5.42,508.0,0,0,1,0,0,0,0,2.0,8,17,0,0,0,-5.01006820706351
-3.942,577.0,0,0,1,0,0,0,0,2.0,8,18,0,1,0,-3.6098033019525486
-3.324,4414.0,0,0,0,0,0,1,0,5.0,8,19,0,0,0,-3.4345982741652246
-6.996,9450.0,0,0,0,0,0,0,1,6.0,9,1,0,0,0,-5.9091692473377435
-4.352,795.0,0,0,0,1,0,0,0,3.0,9,2,0,0,0,-4.738043676238819
-6.592,1298.0,0,0,0,1,0,0,0,3.0,9,3,0,1,0,-6.875898096907691
-5.803,4822.0,0,0,0,0,0,1,0,5.0,9,4,0,0,0,-5.195609180705555
-5.174,1330.0,0,0,0,1,0,0,0,3.0,9,5,0,1,0,-5.289878236715289
-4.414,1531.0,0,0,0,0,1,0,0,4.0,9,6,0,0,0,-4.2833397313531725
-1.97,1303.0,0,0,0,1,0,0,0,3.0,9,7,0,1,0,-2.25889443670164
-0.774,1119.0,0,0,0,1,0,0,0,3.0,9,8,0,1,0,-1.1875221771538031
-0.901,646.0,0,0,1,0,0,0,0,2.0,9,10,0,1,0,-1.3913150706349962
-1.396,5919.0,0,0,0,0,0,1,0,5.0,9,11,0,0,0,-1.408380835528644
-5.096,1344.0,0,0,0,1,0,0,0,3.0,9,12,0,1,0,-5.729481036799904
-6.069,10887.0,0,0,0,0,0,0,1,6.0,9,13,0,0,0,-7.2994335513026
-5.659,1619.0,0,0,0,0,1,0,0,4.0,9,14,0,0,0,-5.107026948671682
-5.662,1773.0,0,0,0,0,1,0,0,4.0,9,15,0,1,0,-5.298152781601757
-3.036,1475.0,0,0,0,1,0,0,0,3.0,9,16,0,1,0,-3.237191194211998
