trade,distance,border,bin375,bin750,bin1500,bin3000,bin6000,binmax,distbin,importer,exporter,sharedlanguage,europeancom,efta,trademodel
-7.41,9891.0,0,0,0,0,0,0,1,6.0,1,2,0,0,0,-7.814125159575425
-10.074,10389.0,0,0,0,0,0,0,1,6.0,1,3,0,0,0,-10.325030389137554
-5.826,10009.0,0,0,0,0,0,0,1,6.0,1,4,1,0,0,-5.559984442489117
-8.206,9968.0,0,0,0,0,0,0,1,6.0,1,5,0,0,0,-8.537030692054392
-6.461,9453.0,0,0,0,0,0,0,1,6.0,1,6,0,0,0,-7.065650488598023
-5.176,10517.0,0,0,0,0,0,0,1,6.0,1,7,0,0,0,-4.980382107947782
-3.918,9987.0,0,0,0,0,0,0,1,6.0,1,8,0,0,0,-3.7801443313905145
-9.092,9450.0,0,0,0,0,0,0,1,6.0,1,9,0,0,0,-9.692283045160647
-4.528,10073.0,0,0,0,0,0,0,1,6.0,1,10,0,0,0,-4.452615032884243
-2.04,4924.0,0,0,0,0,0,1,0,5.0,1,11,0,0,0,-1.680482980190715
-8.801,10334.0,0,0,0,0,0,0,1,6.0,1,12,0,0,0,-9.015759141586683
-4.96,1443.0,0,0,0,1,0,0,0,3.0,1,13,1,0,0,-4.300198516745393
-8.137,9927.0,0,0,0,0,0,0,1,6.0,1,14,0,0,0,-8.017685153310499
-8.985,11221.0,0,0,0,0,0,0,1,6.0,1,15,0,0,0,-8.27389280548505
-6.688,10924.0,0,0,0,0,0,0,1,6.0,1,16,0,0,0,-6.13950383700731
-5.886,9699.0,0,0,0,0,0,0,1,6.0,1,17,0,0,0,-6.4718065321311995
-4.04,769.0,0,0,0,0,0,0,1,6.0,1,18,1,0,0,-4.365400195381866
-2.179,9389.0,0,0,0,0,0,0,1,6.0,1,19,1,0,0,-1.936796532423753
-7.942,9891.0,0,0,0,0,0,0,1,6.0,2,1,0,0,0,-7.014666849384705
-7.083,570.0,0,0,1,0,0,0,0,2.0,2,3,0,0,0,-7.46212997146235
-5.732,4091.0,0,0,0,0,0,1,0,5.0,2,4,0,0,0,-6.221401479912599
-6.113,545.0,0,0,1,0,0,0,0,2.0,2,5,0,0,0,-5.928280194728692
-4.788,894.0,0,0,0,1,0,0,0,3.0,2,6,0,0,1,-4.570259018324423
-2.866,645.0,0,0,1,0,0,0,0,2.0,2,7,0,0,0,-2.8395620214186175
-0.258,326.0,1,1,0,0,0,0,0,1.0,2,8,1,0,0,-0.4511592958251506
-6.428,795.0,0,0,0,1,0,0,0,3.0,2,9,0,0,0,-7.402901523339145
-1.721,475.0,1,0,1,0,0,0,0,2.0,2,10,0,0,0,-2.049159216901268
-1.935,5687.0,0,0,0,0,0,1,0,5.0,2,11,0,0,0,-2.203102494242183
-6.212,583.0,0,0,1,0,0,0,0,2.0,2,12,0,0,0,-6.339949892943082
-9.063,11276.0,0,0,0,0,0,0,1,6.0,2,13,0,0,0,-8.529543968826609
-6.198,842.0,0,0,0,1,0,0,0,3.0,2,14,0,0,1,-5.389519628763034
-5.654,1429.0,0,0,0,1,0,0,0,3.0,2,15,0,0,0,-6.145400304756887
-4.246,1126.0,0,0,0,1,0,0,0,3.0,2,16,0,0,0,-4.2414195579530425
-4.205,775.0,0,0,0,1,0,0,0,3.0,2,17,0,0,1,-4.057718855812178
-3.385,769.0,0,0,0,1,0,0,0,3.0,2,18,0,0,0,-3.1432254892884544
-2.559,4700.0,0,0,0,0,0,1,0,5.0,2,19,0,0,0,-2.3992369577752903
-1.291,10389.0,0,0,0,0,0,0,1,6.0,3,1,0,0,0,-1.075192429795327
-0.484,570.0,0,0,1,0,0,0,0,2.0,3,2,0,0,0,-0.0705798984539353
-1.074,3535.0,0,0,0,0,0,1,0,5.0,3,4,0,0,0,-0.6066720335756183
-1.593,475.0,0,0,1,0,0,0,0,2.0,3,5,0,1,0,-0.38870754097623356
-0.44,1025.0,0,0,0,1,0,0,0,3.0,3,6,0,0,0,0.06655713886763337
3.099,165.0,1,1,0,0,0,0,0,1.0,3,7,1,1,0,2.1856772650015452
3.758,403.0,1,0,1,0,0,0,0,2.0,3,8,0,1,0,2.1657845387120815
-2.722,1298.0,0,0,0,1,0,0,0,3.0,3,9,0,1,0,-1.2540827554885954
2.329,735.0,0,0,1,0,0,0,0,2.0,3,10,0,1,0,1.6585323004092063
2.167,5887.0,0,0,0,0,0,1,0,5.0,3,11,0,0,0,1.721379492381006
0.254,106.0,1,1,0,0,0,0,0,1.0,3,12,0,1,0,0.06822050743139682
-2.502,11626.0,0,0,0,0,0,0,1,6.0,3,13,0,0,0,-1.9750809434362302
-0.755,675.0,0,0,1,0,0,0,0,2.0,3,14,0,0,0,-0.1729315055035859
-1.272,1064.0,0,0,0,1,0,0,0,3.0,3,15,0,1,0,-0.5155599908244912
0.889,817.0,0,0,0,1,0,0,0,3.0,3,16,0,1,0,0.5896086310889699
0.69,798.0,0,0,0,1,0,0,0,3.0,3,17,0,0,0,0.3763171945560818
2.381,199.0,0,1,0,0,0,0,0,1.0,3,18,0,1,0,1.783986393802783
2.734,4153.0,0,0,0,0,0,1,0,5.0,3,19,0,0,0,1.610355763265772
-5.926,10009.0,0,0,0,0,0,0,1,6.0,4,1,1,0,0,-5.510294952915994
