country_index,wage,interest_rate,TFP,L
1,1.0,1.0414356426762201,0.7529232265121797,0.054
2,0.8093458990014045,1.0439379147971062,0.7157410137531597,0.024
3,1.0698879622847415,1.0416872435239595,0.6566585956765728,0.029
4,1.1830532604056738,1.0396792648955784,0.8108043530116216,0.094
5,0.9595962370543927,1.0431154106221847,0.7286880721516208,0.017
6,0.8904721117355819,1.0432497782774832,0.7806205144298515,0.019
7,0.9718231755867287,1.0428391081672945,0.8717047221225422,0.181
8,1.383331668634456,1.0392940803463642,0.9231978733522944,0.0225
9,0.6287538691282376,1.0450366386334702,0.5791797155010584,0.025
10,0.932507891511679,1.0428538640614045,0.8554358755934058,0.159
11,1.107178507815595,1.0404935040521632,0.9915748016353344,0.544
12,1.057529859373261,1.0421670551739617,0.7021546664715859,0.043
13,1.0275637789579257,1.0413614337085917,0.6566585956765728,0.01
14,0.9465850282840947,1.043070661679881,0.7586754561471164,0.015
15,0.7114737587221148,1.0444117370373418,0.5673788639966033,0.026
16,0.7557166200393766,1.0440605233837117,0.7349433628062099,0.1
17,1.0519395494081374,1.042274403774253,0.8108043530116216,0.031
18,1.0429254760651279,1.0422395075814461,0.838320263348874,0.186
19,1.213777725814496,1.039610579267999,1.0,1.0
