importer_index,experter_index,elasticity,trademodel,tradedata
1.0,1.0,NaN,-0.03882854404657263,-0.2995470986502426
2.0,1.0,-6.047809496487802,-9.145333056727962,-7.436905051806717
3.0,1.0,-6.379918221072409,-7.956314359253797,-6.653951761863262
4.0,1.0,-5.590605652268972,-7.609469724103069,-7.545800691583001
5.0,1.0,-5.818689052655134,-8.354680601322753,-6.8879794115339665
6.0,1.0,-5.748023163775422,-8.653854997983473,-7.4256228613584705
7.0,1.0,-5.6505172523721345,-8.634139399164104,-7.734128798625089
8.0,1.0,-5.4377455422338725,-7.245692063913488,-7.89572795550945
9.0,1.0,-6.802642384397345,-10.254974504942872,-6.701641317960726
10.0,1.0,-5.629077788138726,-8.632993895028823,-8.212119969310233
11.0,1.0,-5.209292798949293,-6.939769585268491,-8.354007107132354
12.0,1.0,-6.090024746431597,-8.070151121237242,-6.832195711457606
13.0,1.0,-5.050951448368599,-3.384890146059005,-2.9259622286154348
14.0,1.0,-5.719292223563953,-8.38768401982717,-6.801919561007284
15.0,1.0,-6.54470864721792,-9.508674720878396,-6.731954199018019
16.0,1.0,-6.162753663183211,-9.540268632214392,-7.97645829018088
17.0,1.0,-5.469205967307062,-7.965870060513077,-6.941083180300293
18.0,1.0,-5.547917712230879,-8.181729846180316,-7.225617083291942
19.0,1.0,-5.222116175013803,-7.258491726190548,-7.6544019818435105
1.0,2.0,-6.474061234857328,-10.283834156162278,-7.847285361707579
2.0,2.0,NaN,-0.1246400494635719,-0.6833246834862259
3.0,2.0,-5.82116920299201,-5.721369384286447,-5.101545687877503
4.0,2.0,-6.037985087617952,-9.260887177026161,-8.58873247056474
5.0,2.0,-5.340723154813881,-6.109315916232312,-5.335573337548207
6.0,2.0,-5.365066588547885,-6.887714340972153,-6.18617247784975
7.0,2.0,-5.151270079117517,-6.480977087723591,-6.1817227246393305
8.0,2.0,-4.649681659366961,-3.9053410097253067,-5.245343266353755
9.0,2.0,-6.345761950655254,-8.235222674488485,-5.462190934452005
10.0,2.0,-5.001898086673213,-5.87048479597139,-6.223060847943882
11.0,2.0,-5.814110910759524,-9.200611502692349,-9.845923425404724
12.0,2.0,-5.568794151889981,-5.846254929029268,-5.279789637471847
13.0,2.0,-6.524762092419347,-9.93755083949211,-7.149245248668893
14.0,2.0,-5.345636283109574,-6.622079973502161,-5.562469177498564
15.0,2.0,-6.128101971912734,-7.518757566013426,-5.492503815509299
16.0,2.0,-5.738334174926533,-7.689467049778288,-6.73700790667216
17.0,2.0,-5.118545331041059,-6.262216391638041,-5.701632796791572
18.0,2.0,-5.175412933116418,-6.48286780021731,-5.9861666997832215
19.0,2.0,-5.649458739340012,-8.876829042454293,-8.697333760825249
1.0,3.0,-5.964537818018419,-8.401951232108777,-10.109585967634368
2.0,3.0,-5.029205394352926,-5.1625635518567865,-8.146799583747748
3.0,3.0,NaN,-0.796694044920211,-4.784176050773871
4.0,3.0,-5.580547708568141,-7.580487453893068,-10.851033076491529
5.0,3.0,-4.86650380664945,-4.49535522874198,-7.597873943474998
6.0,3.0,-4.878380061676663,-5.263479339046668,-8.448473083776541
7.0,3.0,-4.266088302687416,-3.5677939368586498,-7.346044715396186
8.0,3.0,-4.464179294707931,-3.328314257345048,-8.168969440069889
9.0,3.0,-5.832081025209838,-6.374404940124245,-7.724491540378796
10.0,3.0,-4.656599257499208,-4.926909848935548,-8.922014501251265
11.0,3.0,-5.34637515601009,-7.5294368694653295,-12.108224031331515
12.0,3.0,-4.837305961121364,-2.799773371598371,-6.444111628228702
13.0,3.0,-6.023855949199684,-8.008161908799655,-9.411545854595683
14.0,3.0,-4.764542538382393,-4.572563007746447,-7.511814092948317
15.0,3.0,-5.619795475885101,-5.683178861513732,-7.75480442143609
16.0,3.0,-5.237289083652053,-5.988418388428497,-8.99930851259895
17.0,3.0,-4.654514852438201,-4.693172301280934,-7.963933402718363
18.0,3.0,-4.39304188972757,-3.679470640501953,-7.274186047443631
19.0,3.0,-5.194067549174425,-7.230111994838713,-10.959634366752038
1.0,4.0,-5.776458824647874,-7.606096827389352,-6.1061360627048105
2.0,4.0,-5.81906947588887,-8.273618293982157,-6.738687531785685
3.0,4.0,-6.166238524721056,-7.1188438088370365,-5.955734241842231
4.0,4.0,NaN,-0.9530614252498544,-1.7535801485810654
5.0,4.0,-5.602008481166456,-7.511614872559774,-6.189761891512935
6.0,4.0,-5.528460148563956,-7.8189543808032695,-6.727405341337439
7.0,4.0,-5.430701747962002,-7.824663554318241,-7.035911278604059
8.0,4.0,-5.241302685636434,-6.5048172575396945,-7.197510435488419
9.0,4.0,-6.557264265798328,-9.300605713340232,-6.0034237979396945
10.0,4.0,-5.411579373265311,-7.820553368869005,-7.513902449289202
