distance,border,bin375,bin750,bin1500,bin3000,bin6000,binmax,distbin,importer,exporter,sharedlanguage,europeancom,efta
9891.0,0,0,0,0,0,0,1,6.0,1,2,0,0,0
10389.0,0,0,0,0,0,0,1,6.0,1,3,0,0,0
10009.0,0,0,0,0,0,0,1,6.0,1,4,1,0,0
9968.0,0,0,0,0,0,0,1,6.0,1,5,0,0,0
9453.0,0,0,0,0,0,0,1,6.0,1,6,0,0,0
10517.0,0,0,0,0,0,0,1,6.0,1,7,0,0,0
9987.0,0,0,0,0,0,0,1,6.0,1,8,0,0,0
9450.0,0,0,0,0,0,0,1,6.0,1,9,0,0,0
10073.0,0,0,0,0,0,0,1,6.0,1,10,0,0,0
4924.0,0,0,0,0,0,1,0,5.0,1,11,0,0,0
10334.0,0,0,0,0,0,0,1,6.0,1,12,0,0,0
1443.0,0,0,0,1,0,0,0,3.0,1,13,1,0,0
9927.0,0,0,0,0,0,0,1,6.0,1,14,0,0,0
11221.0,0,0,0,0,0,0,1,6.0,1,15,0,0,0
10924.0,0,0,0,0,0,0,1,6.0,1,16,0,0,0
9699.0,0,0,0,0,0,0,1,6.0,1,17,0,0,0
769.0,0,0,0,0,0,0,1,6.0,1,18,1,0,0
9389.0,0,0,0,0,0,0,1,6.0,1,19,1,0,0
9891.0,0,0,0,0,0,0,1,6.0,2,1,0,0,0
570.0,0,0,1,0,0,0,0,2.0,2,3,0,0,0
4091.0,0,0,0,0,0,1,0,5.0,2,4,0,0,0
545.0,0,0,1,0,0,0,0,2.0,2,5,0,0,0
894.0,0,0,0,1,0,0,0,3.0,2,6,0,0,1
645.0,0,0,1,0,0,0,0,2.0,2,7,0,0,0
326.0,1,1,0,0,0,0,0,1.0,2,8,1,0,0
795.0,0,0,0,1,0,0,0,3.0,2,9,0,0,0
475.0,1,0,1,0,0,0,0,2.0,2,10,0,0,0
5687.0,0,0,0,0,0,1,0,5.0,2,11,0,0,0
583.0,0,0,1,0,0,0,0,2.0,2,12,0,0,0
11276.0,0,0,0,0,0,0,1,6.0,2,13,0,0,0
842.0,0,0,0,1,0,0,0,3.0,2,14,0,0,1
1429.0,0,0,0,1,0,0,0,3.0,2,15,0,0,0
1126.0,0,0,0,1,0,0,0,3.0,2,16,0,0,0
775.0,0,0,0,1,0,0,0,3.0,2,17,0,0,1
769.0,0,0,0,1,0,0,0,3.0,2,18,0,0,0
4700.0,0,0,0,0,0,1,0,5.0,2,19,0,0,0
10389.0,0,0,0,0,0,0,1,6.0,3,1,0,0,0
570.0,0,0,1,0,0,0,0,2.0,3,2,0,0,0
3535.0,0,0,0,0,0,1,0,5.0,3,4,0,0,0
475.0,0,0,1,0,0,0,0,2.0,3,5,0,1,0
1025.0,0,0,0,1,0,0,0,3.0,3,6,0,0,0
165.0,1,1,0,0,0,0,0,1.0,3,7,1,1,0
403.0,1,0,1,0,0,0,0,2.0,3,8,0,1,0
1298.0,0,0,0,1,0,0,0,3.0,3,9,0,1,0
735.0,0,0,1,0,0,0,0,2.0,3,10,0,1,0
5887.0,0,0,0,0,0,1,0,5.0,3,11,0,0,0
106.0,1,1,0,0,0,0,0,1.0,3,12,0,1,0
11626.0,0,0,0,0,0,0,1,6.0,3,13,0,0,0
675.0,0,0,1,0,0,0,0,2.0,3,14,0,0,0
1064.0,0,0,0,1,0,0,0,3.0,3,15,0,1,0
817.0,0,0,0,1,0,0,0,3.0,3,16,0,1,0
798.0,0,0,0,1,0,0,0,3.0,3,17,0,0,0
199.0,0,1,0,0,0,0,0,1.0,3,18,0,1,0
4153.0,0,0,0,0,0,1,0,5.0,3,19,0,0,0
10009.0,0,0,0,0,0,0,1,6.0,4,1,1,0,0
4091.0,0,0,0,0,0,1,0,5.0,4,2,0,0,0
3535.0,0,0,0,0,0,1,0,5.0,4,3,0,0,0
3675.0,0,0,0,0,0,1,0,5.0,4,5,0,0,0
3906.0,0,0,0,0,0,1,0,5.0,4,6,0,0,0
3519.0,0,0,0,0,0,1,0,5.0,4,7,0,0,0
3816.0,0,0,0,0,0,1,0,5.0,4,8,0,0,0
4822.0,0,0,0,0,0,1,0,5.0,4,9,0,0,0
4198.0,0,0,0,0,0,1,0,5.0,4,10,0,0,0
6429.0,0,0,0,0,0,0,1,6.0,4,11,0,0,0
3508.0,0,0,0,0,0,1,0,5.0,4,12,0,0,0
8994.0,0,0,0,0,0,0,1,6.0,4,13,1,0,0
3486.0,0,0,0,0,0,1,0,5.0,4,14,0,0,0
3358.0,0,0,0,0,0,1,0,5.0,4,15,0,0,0
3543.0,0,0,0,0,0,1,0,5.0,4,16,0,0,0
3731.0,0,0,0,0,0,1,0,5.0,4,17,0,0,0
3341.0,0,0,0,0,0,1,0,5.0,4,18,1,0,0
648.0,1,0,1,0,0,0,0,2.0,4,19,1,0,0
9968.0,0,0,0,0,0,0,1,6.0,5,1,0,0,0
545.0,0,0,1,0,0,0,0,2.0,5,2,0,0,0
475.0,0,0,1,0,0,0,0,2.0,5,3,0,1,0
3675.0,0,0,0,0,0,1,0,5.0,5,4,0,0,0
550.0,0,0,1,0,0,0,0,2.0,5,6,0,0,0
639.0,0,0,1,0,0,0,0,2.0,5,7,0,1,0
224.0,1,1,0,0,0,0,0,1.0,5,8,0,1,0
1330.0,0,0,0,1,0,0,0,3.0,5,9,0,1,0
957.0,0,0,0,1,0,0,0,3.0,5,10,0,1,0
5416.0,0,0,0,0,0,1,0,5.0,5,11,0,0,0
386.0,0,0,1,0,0,0,0,2.0,5,12,0,1,0
11152.0,0,0,0,0,0,0,1,6.0,5,13,0,0,0
299.0,0,1,0,0,0,0,0,1.0,5,14,0,0,0
1539.0,0,0,0,0,1,0,0,4.0,5,15,0,1,0
1287.0,0,0,0,1,0,0,0,3.0,5,16,0,1,0
327.0,0,1,0,0,0,0,0,1.0,5,17,0,0,0
592.0,0,0,1,0,0,0,0,2.0,5,18,0,1,0
4259.0,0,0,0,0,0,1,0,5.0,5,19,0,0,0
9453.0,0,0,0,0,0,0,1,6.0,6,1,0,0,0
894.0,0,0,0,1,0,0,0,3.0,6,2,0,0,1
1025.0,0,0,0,1,0,0,0,3.0,6,3,0,0,0
3906.0,0,0,0,0,0,1,0,5.0,6,4,0,0,0
550.0,0,0,1,0,0,0,0,2.0,6,5,0,0,0
1188.0,0,0,0,1,0,0,0,3.0,6,7,0,0,0
689.0,0,0,1,0,0,0,0,2.0,6,8,0,0,0
1531.0,0,0,0,0,1,0,0,4.0,6,9,0,0,0
1368.0,0,0,0,1,0,0,0,3.0,6,10,0,0,0
4873.0,0,0,0,0,0,1,0,5.0,6,11,0,0,0
936.0,0,0,0,1,0,0,0,3.0,6,12,0,0,0
10604.0,0,0,0,0,0,0,1,6.0,6,13,0,0,0
491.0,0,0,1,0,0,0,0,2.0,6,14,0,0,1
2089.0,0,0,0,0,1,0,0,4.0,6,15,0,0,0
1832.0,0,0,0,0,1,0,0,4.0,6,16,0,0,0
246.0,1,1,0,0,0,0,0,1.0,6,17,0,0,1
1133.0,0,0,0,1,0,0,0,3.0,6,18,0,0,0
4442.0,0,0,0,0,0,1,0,5.0,6,19,0,0,0
10517.0,0,0,0,0,0,0,1,6.0,7,1,0,0,0
645.0,0,0,1,0,0,0,0,2.0,7,2,0,0,0
165.0,1,1,0,0,0,0,0,1.0,7,3,1,1,0
3519.0,0,0,0,0,0,1,0,5.0,7,4,0,0,0
639.0,0,0,1,0,0,0,0,2.0,7,5,0,1,0
1188.0,0,0,0,1,0,0,0,3.0,7,6,0,0,0
545.0,1,0,1,0,0,0,0,2.0,7,8,0,1,0
1303.0,0,0,0,1,0,0,0,3.0,7,9,0,1,0
694.0,1,0,1,0,0,0,0,2.0,7,10,0,1,0
6052.0,0,0,0,0,0,0,1,6.0,7,11,0,0,0
266.0,0,1,0,0,0,0,0,1.0,7,12,0,1,0
11791.0,0,0,0,0,0,0,1,6.0,7,13,0,0,0
836.0,0,0,0,1,0,0,0,3.0,7,14,0,0,0
902.0,0,0,0,1,0,0,0,3.0,7,15,0,1,0
652.0,1,0,1,0,0,0,0,2.0,7,16,0,1,0
963.0,0,0,0,1,0,0,0,3.0,7,17,0,0,0
213.0,0,1,0,0,0,0,0,1.0,7,18,0,1,0
4146.0,0,0,0,0,0,1,0,5.0,7,19,0,0,0
9987.0,0,0,0,0,0,0,1,6.0,8,1,0,0,0
326.0,1,1,0,0,0,0,0,1.0,8,2,1,0,0
403.0,1,0,1,0,0,0,0,2.0,8,3,0,1,0
3816.0,0,0,0,0,0,1,0,5.0,8,4,0,0,0
224.0,1,1,0,0,0,0,0,1.0,8,5,0,1,0
689.0,0,0,1,0,0,0,0,2.0,8,6,0,0,0
545.0,1,0,1,0,0,0,0,2.0,8,7,0,1,0
1119.0,0,0,0,1,0,0,0,3.0,8,9,0,1,0
736.0,1,0,1,0,0,0,0,2.0,8,10,0,1,0
5558.0,0,0,0,0,0,1,0,5.0,8,11,0,0,0
358.0,1,1,0,0,0,0,0,1.0,8,12,0,1,0
11266.0,0,0,0,0,0,0,1,6.0,8,13,0,0,0
523.0,0,0,1,0,0,0,0,2.0,8,14,0,0,0
1435.0,0,0,0,1,0,0,0,3.0,8,15,0,1,0
1159.0,0,0,0,1,0,0,0,3.0,8,16,0,1,0
508.0,0,0,1,0,0,0,0,2.0,8,17,0,0,0
577.0,0,0,1,0,0,0,0,2.0,8,18,0,1,0
4414.0,0,0,0,0,0,1,0,5.0,8,19,0,0,0
9450.0,0,0,0,0,0,0,1,6.0,9,1,0,0,0
795.0,0,0,0,1,0,0,0,3.0,9,2,0,0,0
1298.0,0,0,0,1,0,0,0,3.0,9,3,0,1,0
4822.0,0,0,0,0,0,1,0,5.0,9,4,0,0,0
1330.0,0,0,0,1,0,0,0,3.0,9,5,0,1,0
1531.0,0,0,0,0,1,0,0,4.0,9,6,0,0,0
1303.0,0,0,0,1,0,0,0,3.0,9,7,0,1,0
1119.0,0,0,0,1,0,0,0,3.0,9,8,0,1,0
646.0,0,0,1,0,0,0,0,2.0,9,10,0,1,0
5919.0,0,0,0,0,0,1,0,5.0,9,11,0,0,0
1344.0,0,0,0,1,0,0,0,3.0,9,12,0,1,0
10887.0,0,0,0,0,0,0,1,6.0,9,13,0,0,0
1619.0,0,0,0,0,1,0,0,4.0,9,14,0,0,0
1773.0,0,0,0,0,1,0,0,4.0,9,15,0,1,0
1475.0,0,0,0,1,0,0,0,3.0,9,16,0,1,0
1497.0,0,0,0,1,0,0,0,3.0,9,17,0,0,0
1486.0,0,0,0,1,0,0,0,3.0,9,18,0,1,0
5446.0,0,0,0,0,0,1,0,5.0,9,19,0,0,0
10073.0,0,0,0,0,0,0,1,6.0,10,1,0,0,0
475.0,1,0,1,0,0,0,0,2.0,10,2,0,0,0
735.0,0,0,1,0,0,0,0,2.0,10,3,0,1,0
4198.0,0,0,0,0,0,1,0,5.0,10,4,0,0,0
957.0,0,0,0,1,0,0,0,3.0,10,5,0,1,0
1368.0,0,0,0,1,0,0,0,3.0,10,6,0,0,0
694.0,1,0,1,0,0,0,0,2.0,10,7,0,1,0
736.0,1,0,1,0,0,0,0,2.0,10,8,0,1,0
646.0,0,0,1,0,0,0,0,2.0,10,9,0,1,0
6137.0,0,0,0,0,0,0,1,6.0,10,11,0,0,0
810.0,0,0,0,1,0,0,0,3.0,10,12,0,1,0
11516.0,0,0,0,0,0,0,1,6.0,10,13,0,0,0
1252.0,0,0,0,1,0,0,0,3.0,10,14,0,0,0
1164.0,0,0,0,1,0,0,0,3.0,10,15,0,1,0
856.0,0,0,0,1,0,0,0,3.0,10,16,0,1,0
1233.0,0,0,0,1,0,0,0,3.0,10,17,0,0,0
897.0,0,0,0,1,0,0,0,3.0,10,18,0,1,0
4831.0,0,0,0,0,0,1,0,5.0,10,19,0,0,0
4924.0,0,0,0,0,0,1,0,5.0,11,1,0,0,0
5687.0,0,0,0,0,0,1,0,5.0,11,2,0,0,0
5887.0,0,0,0,0,0,1,0,5.0,11,3,0,0,0
6429.0,0,0,0,0,0,0,1,6.0,11,4,0,0,0
5416.0,0,0,0,0,0,1,0,5.0,11,5,0,0,0
4873.0,0,0,0,0,0,1,0,5.0,11,6,0,0,0
6052.0,0,0,0,0,0,0,1,6.0,11,7,0,0,0
5558.0,0,0,0,0,0,1,0,5.0,11,8,0,0,0
5919.0,0,0,0,0,0,1,0,5.0,11,9,0,0,0
6137.0,0,0,0,0,0,0,1,6.0,11,10,0,0,0
5789.0,0,0,0,0,0,1,0,5.0,11,12,0,0,0
5741.0,0,0,0,0,0,1,0,5.0,11,13,0,0,0
5238.0,0,0,0,0,0,1,0,5.0,11,14,0,0,0
6940.0,0,0,0,0,0,0,1,6.0,11,15,0,0,0
6703.0,0,0,0,0,0,0,1,6.0,11,16,0,0,0
5090.0,0,0,0,0,0,1,0,5.0,11,17,0,0,0
5956.0,0,0,0,0,0,1,0,5.0,11,18,0,0,0
6314.0,0,0,0,0,0,0,1,6.0,11,19,0,0,0
10334.0,0,0,0,0,0,0,1,6.0,12,1,0,0,0
583.0,0,0,1,0,0,0,0,2.0,12,2,0,0,0
106.0,1,1,0,0,0,0,0,1.0,12,3,0,1,0
3508.0,0,0,0,0,0,1,0,5.0,12,4,0,0,0
386.0,0,0,1,0,0,0,0,2.0,12,5,0,1,0
936.0,0,0,0,1,0,0,0,3.0,12,6,0,0,0
266.0,0,1,0,0,0,0,0,1.0,12,7,0,1,0
358.0,1,1,0,0,0,0,0,1.0,12,8,0,1,0
1344.0,0,0,0,1,0,0,0,3.0,12,9,0,1,0
810.0,0,0,0,1,0,0,0,3.0,12,10,0,1,0
5789.0,0,0,0,0,0,1,0,5.0,12,11,0,0,0
11530.0,0,0,0,0,0,0,1,6.0,12,13,0,0,0
570.0,0,0,1,0,0,0,0,2.0,12,14,0,0,0
1156.0,0,0,0,1,0,0,0,3.0,12,15,0,1,0
918.0,0,0,0,1,0,0,0,3.0,12,16,0,1,0
703.0,0,0,1,0,0,0,0,2.0,12,17,0,0,0
221.0,0,1,0,0,0,0,0,1.0,12,18,0,1,0
4119.0,0,0,0,0,0,1,0,5.0,12,19,0,0,0
1443.0,0,0,0,1,0,0,0,3.0,13,1,1,0,0
11276.0,0,0,0,0,0,0,1,6.0,13,2,0,0,0
11626.0,0,0,0,0,0,0,1,6.0,13,3,0,0,0
8994.0,0,0,0,0,0,0,1,6.0,13,4,1,0,0
11152.0,0,0,0,0,0,0,1,6.0,13,5,0,0,0
10604.0,0,0,0,0,0,0,1,6.0,13,6,0,0,0
11791.0,0,0,0,0,0,0,1,6.0,13,7,0,0,0
11266.0,0,0,0,0,0,0,1,6.0,13,8,0,0,0
10887.0,0,0,0,0,0,0,1,6.0,13,9,0,0,0
11516.0,0,0,0,0,0,0,1,6.0,13,10,0,0,0
5741.0,0,0,0,0,0,1,0,5.0,13,11,0,0,0
11530.0,0,0,0,0,0,0,1,6.0,13,12,0,0,0
10971.0,0,0,0,0,0,0,1,6.0,13,14,0,0,0
12168.0,0,0,0,0,0,0,1,6.0,13,15,0,0,0
12338.0,0,0,0,0,0,0,1,6.0,13,16,0,0,0
10829.0,0,0,0,0,0,0,1,6.0,13,17,0,0,0
11682.0,0,0,0,0,0,0,1,6.0,13,18,1,0,0
8347.0,0,0,0,0,0,0,1,6.0,13,19,1,0,0
9927.0,0,0,0,0,0,0,1,6.0,14,1,0,0,0
