trade,distance,border,bin375,bin750,bin1500,bin3000,bin6000,binmax,distbin,importer,exporter
0.0,0.0,0,1,0,0,0,0,0,1.0,1,1
-7.41,9891.0,0,0,0,0,0,0,1,6.0,1,2
-10.074,10389.0,0,0,0,0,0,0,1,6.0,1,3
-5.826,10009.0,0,0,0,0,0,0,1,6.0,1,4
-8.206,9968.0,0,0,0,0,0,0,1,6.0,1,5
-6.461,9453.0,0,0,0,0,0,0,1,6.0,1,6
-5.176,10517.0,0,0,0,0,0,0,1,6.0,1,7
-3.918,9987.0,0,0,0,0,0,0,1,6.0,1,8
-9.092,9450.0,0,0,0,0,0,0,1,6.0,1,9
-4.528,10073.0,0,0,0,0,0,0,1,6.0,1,10
-2.04,4924.0,0,0,0,0,0,1,0,5.0,1,11
-8.801,10334.0,0,0,0,0,0,0,1,6.0,1,12
-4.96,1443.0,0,0,0,1,0,0,0,3.0,1,13
-8.137,9927.0,0,0,0,0,0,0,1,6.0,1,14
-8.985,11221.0,0,0,0,0,0,0,1,6.0,1,15
-6.688,10924.0,0,0,0,0,0,0,1,6.0,1,16
-5.886,9699.0,0,0,0,0,0,0,1,6.0,1,17
-4.04,769.0,0,0,0,0,0,0,1,6.0,1,18
-2.179,9389.0,0,0,0,0,0,0,1,6.0,1,19
-7.942,9891.0,0,0,0,0,0,0,1,6.0,2,1
0.0,0.0,0,1,0,0,0,0,0,1.0,2,2
-7.083,570.0,0,0,1,0,0,0,0,2.0,2,3
-5.732,4091.0,0,0,0,0,0,1,0,5.0,2,4
-6.113,545.0,0,0,1,0,0,0,0,2.0,2,5
-4.788,894.0,0,0,0,1,0,0,0,3.0,2,6
-2.866,645.0,0,0,1,0,0,0,0,2.0,2,7
-0.258,326.0,1,1,0,0,0,0,0,1.0,2,8
-6.428,795.0,0,0,0,1,0,0,0,3.0,2,9
-1.721,475.0,1,0,1,0,0,0,0,2.0,2,10
-1.935,5687.0,0,0,0,0,0,1,0,5.0,2,11
-6.212,583.0,0,0,1,0,0,0,0,2.0,2,12
-9.063,11276.0,0,0,0,0,0,0,1,6.0,2,13
-6.198,842.0,0,0,0,1,0,0,0,3.0,2,14
-5.654,1429.0,0,0,0,1,0,0,0,3.0,2,15
-4.246,1126.0,0,0,0,1,0,0,0,3.0,2,16
-4.205,775.0,0,0,0,1,0,0,0,3.0,2,17
-3.385,769.0,0,0,0,1,0,0,0,3.0,2,18
-2.559,4700.0,0,0,0,0,0,1,0,5.0,2,19
-1.291,10389.0,0,0,0,0,0,0,1,6.0,3,1
-0.484,570.0,0,0,1,0,0,0,0,2.0,3,2
0.0,0.0,0,1,0,0,0,0,0,1.0,3,3
-1.074,3535.0,0,0,0,0,0,1,0,5.0,3,4
-1.593,475.0,0,0,1,0,0,0,0,2.0,3,5
-0.44,1025.0,0,0,0,1,0,0,0,3.0,3,6
3.099,165.0,1,1,0,0,0,0,0,1.0,3,7
3.758,403.0,1,0,1,0,0,0,0,2.0,3,8
-2.722,1298.0,0,0,0,1,0,0,0,3.0,3,9
2.329,735.0,0,0,1,0,0,0,0,2.0,3,10
2.167,5887.0,0,0,0,0,0,1,0,5.0,3,11
0.254,106.0,1,1,0,0,0,0,0,1.0,3,12
-2.502,11626.0,0,0,0,0,0,0,1,6.0,3,13
-0.755,675.0,0,0,1,0,0,0,0,2.0,3,14
-1.272,1064.0,0,0,0,1,0,0,0,3.0,3,15
0.889,817.0,0,0,0,1,0,0,0,3.0,3,16
0.69,798.0,0,0,0,1,0,0,0,3.0,3,17
2.381,199.0,0,1,0,0,0,0,0,1.0,3,18
2.734,4153.0,0,0,0,0,0,1,0,5.0,3,19
-5.926,10009.0,0,0,0,0,0,0,1,6.0,4,1
-6.502,4091.0,0,0,0,0,0,1,0,5.0,4,2
-9.442,3535.0,0,0,0,0,0,1,0,5.0,4,3
0.0,0.0,0,1,0,0,0,0,0,1.0,4,4
-7.796,3675.0,0,0,0,0,0,1,0,5.0,4,5
-6.096,3906.0,0,0,0,0,0,1,0,5.0,4,6
-4.037,3519.0,0,0,0,0,0,1,0,5.0,4,7
-3.429,3816.0,0,0,0,0,0,1,0,5.0,4,8
-8.851,4822.0,0,0,0,0,0,1,0,5.0,4,9
-3.958,4198.0,0,0,0,0,0,1,0,5.0,4,10
-1.71,6429.0,0,0,0,0,0,0,1,6.0,4,11
-8.334,3508.0,0,0,0,0,0,1,0,5.0,4,12
-7.006,8994.0,0,0,0,0,0,0,1,6.0,4,13
-6.036,3486.0,0,0,0,0,0,1,0,5.0,4,14
-7.789,3358.0,0,0,0,0,0,1,0,5.0,4,15
-5.585,3543.0,0,0,0,0,0,1,0,5.0,4,16
-5.499,3731.0,0,0,0,0,0,1,0,5.0,4,17
-3.597,3341.0,0,0,0,0,0,1,0,5.0,4,18
0.268,648.0,1,0,1,0,0,0,0,2.0,4,19
-5.3,9968.0,0,0,0,0,0,0,1,6.0,5,1
-3.564,545.0,0,0,1,0,0,0,0,2.0,5,2
-5.879,475.0,0,0,1,0,0,0,0,2.0,5,3
-5.023,3675.0,0,0,0,0,0,1,0,5.0,5,4
0.0,0.0,0,1,0,0,0,0,0,1.0,5,5
-2.173,550.0,0,0,1,0,0,0,0,2.0,5,6
-1.49,639.0,0,0,1,0,0,0,0,2.0,5,7
0.177,224.0,1,1,0,0,0,0,0,1.0,5,8
-5.603,1330.0,0,0,0,1,0,0,0,3.0,5,9
-1.362,957.0,0,0,0,1,0,0,0,3.0,5,10
-0.871,5416.0,0,0,0,0,0,1,0,5.0,5,11
