θE,θI,θ,ωij,ωii,trade,shocks,assets
-3.9999999998054148,-1.0000000000101945,-3.9999999998156093,0.004626905744589804,0.004626905744589799,0.05358767754636259,1.0,-0.5
-4.000000000024516,-1.0000000000101945,-4.000000000034711,0.003454257408619231,0.0034542574086192336,0.0535876775463625,1.0,-0.41414141414141414
-4.000000000053617,-1.0000000000101945,-4.000000000063811,0.0007091069996157661,0.0007091069996157668,0.05358767754636249,1.0,-0.3282828282828283
-3.9999999999988405,-0.9999999999965007,-3.999999999995341,0.00035228274135684087,0.0003522827413568412,0.05358767754636249,1.0,-0.24242424242424243
-4.000000000134068,-1.0000000000375824,-4.00000000017165,0.00016303590213946173,0.00016303590213946178,0.053587677546362525,1.0,-0.15656565656565657
-3.999999999914966,-0.9999999999828068,-3.9999999998977724,0.00010378026747594588,0.00010378026747594593,0.053587677546362525,1.0,-0.0707070707070707
-3.999999999914966,-0.9999999999828068,-3.9999999998977724,7.343956345589006e-5,7.343956345589011e-5,0.0535876775463625,1.0,0.015151515151515152
-4.000000000024516,-1.0000000000101945,-4.000000000034711,5.477657032450319e-5,5.4776570324503246e-5,0.05358767754636249,1.0,0.10101010101010101
-4.000000000053617,-1.0000000000101945,-4.000000000063811,4.175072990170907e-5,4.175072990170907e-5,0.05358767754636255,1.0,0.18686868686868688
-3.99999999986019,-0.9999999999691129,-3.9999999998293028,3.2239791198439434e-5,3.223979119843943e-5,0.053587677546362567,1.0,0.2727272727272727
-3.999999999969741,-0.9999999999828068,-3.9999999999525477,2.5855254686843168e-5,2.5855254686843178e-5,0.053587677546362525,1.0,0.35858585858585856
-4.000000000163167,-1.0000000000375824,-4.00000000020075,2.14153114867323e-5,2.14153114867323e-5,0.05358767754636254,1.0,0.4444444444444444
-3.999999999969741,-0.9999999999896537,-3.9999999999593947,1.7964339177252263e-5,1.796433917725227e-5,0.05358767754636253,1.0,0.5303030303030303
-4.000000000053617,-1.0000000000101945,-4.000000000063811,1.5250818779759487e-5,1.52508187797595e-5,0.0535876775463625,1.0,0.6161616161616161
-4.0000000001083915,-1.0000000000101945,-4.000000000118586,1.274855436250037e-5,1.274855436250037e-5,0.053587677546362546,1.0,0.702020202020202
-3.99999999986019,-0.9999999999691129,-3.9999999998293028,1.0771063484369941e-5,1.0771063484369943e-5,0.053587677546362525,1.0,0.7878787878787878
-4.000000000024516,-1.0000000000033478,-4.000000000027864,9.09957493817925e-6,9.099574938179253e-6,0.05358767754636253,1.0,0.8737373737373737
-4.000000000079292,-1.0000000000101945,-4.000000000089487,7.905492178151516e-6,7.905492178151504e-6,0.05358767754636261,1.0,0.9595959595959596
-3.999999999969741,-0.9999999999828068,-3.9999999999525477,6.815366098001536e-6,6.815366098001524e-6,0.05358767754636263,1.0,1.0454545454545454
-3.99999999986019,-0.9999999999554191,-3.9999999998156093,5.964838886005584e-6,5.964838886005586e-6,0.053587677546362525,1.0,1.1313131313131313
