trade,distance,border,bin375,bin750,bin1500,bin3000,bin6000,binmax,distbin,importer,exporter,sharedlanguage,europeancom,efta,trademodel
-7.41,9891.0,0,0,0,0,0,0,1,6.0,1,2,0,0,0,-7.677108951404801
-10.074,10389.0,0,0,0,0,0,0,1,6.0,1,3,0,0,0,-9.850894901932444
-5.826,10009.0,0,0,0,0,0,0,1,6.0,1,4,1,0,0,-5.5936280450060805
-8.206,9968.0,0,0,0,0,0,0,1,6.0,1,5,0,0,0,-8.264819819065872
-6.461,9453.0,0,0,0,0,0,0,1,6.0,1,6,0,0,0,-7.0377359480403205
-5.176,10517.0,0,0,0,0,0,0,1,6.0,1,7,0,0,0,-5.233885925673046
-3.918,9987.0,0,0,0,0,0,0,1,6.0,1,8,0,0,0,-4.162521510453383
-9.092,9450.0,0,0,0,0,0,0,1,6.0,1,9,0,0,0,-9.328793622264739
-4.528,10073.0,0,0,0,0,0,0,1,6.0,1,10,0,0,0,-4.733759862282514
-2.04,4924.0,0,0,0,0,0,1,0,5.0,1,11,0,0,0,-1.82192114044348
-8.801,10334.0,0,0,0,0,0,0,1,6.0,1,12,0,0,0,-8.704589515497496
-4.96,1443.0,0,0,0,1,0,0,0,3.0,1,13,1,0,0,-4.677338637055785
-8.137,9927.0,0,0,0,0,0,0,1,6.0,1,14,0,0,0,-7.861421866074921
-8.985,11221.0,0,0,0,0,0,0,1,6.0,1,15,0,0,0,-8.088450440837736
-6.688,10924.0,0,0,0,0,0,0,1,6.0,1,16,0,0,0,-6.212181223452482
-5.886,9699.0,0,0,0,0,0,0,1,6.0,1,17,0,0,0,-6.505453715278871
-4.04,769.0,0,0,0,0,0,0,1,6.0,1,18,1,0,0,-4.631022550508392
-2.179,9389.0,0,0,0,0,0,0,1,6.0,1,19,1,0,0,-2.021470158090403
-7.942,9891.0,0,0,0,0,0,0,1,6.0,2,1,0,0,0,-6.882951588778113
-7.083,570.0,0,0,1,0,0,0,0,2.0,2,3,0,0,0,-7.518141440092132
-5.732,4091.0,0,0,0,0,0,1,0,5.0,2,4,0,0,0,-6.169386592756968
-6.113,545.0,0,0,1,0,0,0,0,2.0,2,5,0,0,0,-5.932066357225557
-4.788,894.0,0,0,0,1,0,0,0,3.0,2,6,0,0,1,-4.536366445510103
-2.866,645.0,0,0,1,0,0,0,0,2.0,2,7,0,0,0,-2.901132463832729
-0.258,326.0,1,1,0,0,0,0,0,1.0,2,8,1,0,0,-0.4526237159836724
-6.428,795.0,0,0,0,1,0,0,0,3.0,2,9,0,0,0,-7.363495044875222
-1.721,475.0,1,0,1,0,0,0,0,2.0,2,10,0,0,0,-2.0974428388199207
-1.935,5687.0,0,0,0,0,0,1,0,5.0,2,11,0,0,0,-2.3821602742101087
-6.212,583.0,0,0,1,0,0,0,0,2.0,2,12,0,0,0,-6.371836053657185
-9.063,11276.0,0,0,0,0,0,0,1,6.0,2,13,0,0,0,-8.27319589494069
-6.198,842.0,0,0,0,1,0,0,0,3.0,2,14,0,0,1,-5.360052363544703
-5.654,1429.0,0,0,0,1,0,0,0,3.0,2,15,0,0,0,-6.123151863448218
-4.246,1126.0,0,0,0,1,0,0,0,3.0,2,16,0,0,0,-4.246882646062964
-4.205,775.0,0,0,0,1,0,0,0,3.0,2,17,0,0,1,-4.004084212748654
-3.385,769.0,0,0,0,1,0,0,0,3.0,2,18,0,0,0,-3.175804386081003
-2.559,4700.0,0,0,0,0,0,1,0,5.0,2,19,0,0,0,-2.59722870584129
-1.291,10389.0,0,0,0,0,0,0,1,6.0,3,1,0,0,0,-1.9106324571273743
-0.484,570.0,0,0,1,0,0,0,0,2.0,3,2,0,0,0,-0.3720363579137471
-1.074,3535.0,0,0,0,0,0,1,0,5.0,3,4,0,0,0,-1.1970674611062257
-1.593,475.0,0,0,1,0,0,0,0,2.0,3,5,0,1,0,-0.9238353712123841
-0.44,1025.0,0,0,0,1,0,0,0,3.0,3,6,0,0,0,-0.10011823900006127
3.099,165.0,1,1,0,0,0,0,0,1.0,3,7,1,1,0,3.4842428548098385
3.758,403.0,1,0,1,0,0,0,0,2.0,3,8,0,1,0,3.482026499022383
-2.722,1298.0,0,0,0,1,0,0,0,3.0,3,9,0,1,0,-2.3552640588620495
2.329,735.0,0,0,1,0,0,0,0,2.0,3,10,0,1,0,2.6072245855709655
2.167,5887.0,0,0,0,0,0,1,0,5.0,3,11,0,0,0,2.5901588574406267
0.254,106.0,1,1,0,0,0,0,0,1.0,3,12,0,1,0,-0.4965411479767401
-2.502,11626.0,0,0,0,0,0,0,1,6.0,3,13,0,0,0,-3.3008767632899456
-0.755,675.0,0,0,1,0,0,0,0,2.0,3,14,0,0,0,-0.556349272583865
-1.272,1064.0,0,0,0,1,0,0,0,3.0,3,15,0,1,0,-1.114920877435044
0.889,817.0,0,0,0,1,0,0,0,3.0,3,16,0,1,0,0.7613483399502099
0.69,798.0,0,0,0,1,0,0,0,3.0,3,17,0,0,0,0.43216399376138626
2.381,199.0,0,1,0,0,0,0,0,1.0,3,18,0,1,0,2.7633818424279473
2.734,4153.0,0,0,0,0,0,1,0,5.0,3,19,0,0,0,2.3750904258094447
-5.926,10009.0,0,0,0,0,0,0,1,6.0,4,1,1,0,0,-5.579260913537952
-6.502,4091.0,0,0,0,0,0,1,0,5.0,4,2,0,0,0,-6.949176823915529
-9.442,3535.0,0,0,0,0,0,1,0,5.0,4,3,0,0,0,-9.122962774443176
-7.796,3675.0,0,0,0,0,0,1,0,5.0,4,5,0,0,0,-7.536887691576597
-6.096,3906.0,0,0,0,0,0,1,0,5.0,4,6,0,0,0,-6.309803820551052
-4.037,3519.0,0,0,0,0,0,1,0,5.0,4,7,0,0,0,-4.505953798183772
-3.429,3816.0,0,0,0,0,0,1,0,5.0,4,8,0,0,0,-3.4345893829641096
-8.851,4822.0,0,0,0,0,0,1,0,5.0,4,9,0,0,0,-8.60086149477547
-3.958,4198.0,0,0,0,0,0,1,0,5.0,4,10,0,0,0,-4.005827734793245
-1.71,6429.0,0,0,0,0,0,0,1,6.0,4,11,0,0,0,-2.083111010909944
-8.334,3508.0,0,0,0,0,0,1,0,5.0,4,12,0,0,0,-7.976657388008227
-7.006,8994.0,0,0,0,0,0,0,1,6.0,4,13,1,0,0,-6.969505219700527
-6.036,3486.0,0,0,0,0,0,1,0,5.0,4,14,0,0,0,-7.1334897385856495
-7.789,3358.0,0,0,0,0,0,1,0,5.0,4,15,0,0,0,-7.360518313348467
-5.585,3543.0,0,0,0,0,0,1,0,5.0,4,16,0,0,0,-5.484249095963212
-5.499,3731.0,0,0,0,0,0,1,0,5.0,4,17,0,0,0,-5.7775215877896
-3.597,3341.0,0,0,0,0,0,1,0,5.0,4,18,1,0,0,-3.9030904230191177
0.268,648.0,1,0,1,0,0,0,0,2.0,4,19,1,0,0,1.408457127650228
-5.3,9968.0,0,0,0,0,0,0,1,6.0,5,1,0,0,0,-5.122715240192025
-3.564,545.0,0,0,1,0,0,0,0,2.0,5,2,0,0,0,-3.5841191409784035
-5.879,475.0,0,0,1,0,0,0,0,2.0,5,3,0,1,0,-5.72199323714362
-5.023,3675.0,0,0,0,0,0,1,0,5.0,5,4,0,0,0,-4.4091502441708785
-2.173,550.0,0,0,1,0,0,0,0,2.0,5,6,0,0,0,-2.944746137613919
-1.49,639.0,0,0,1,0,0,0,0,2.0,5,7,0,1,0,-1.1049842608842158
0.177,224.0,1,1,0,0,0,0,0,1.0,5,8,0,1,0,0.8334440740027227
-5.603,1330.0,0,0,0,1,0,0,0,3.0,5,9,0,1,0,-5.567346841926708
-1.362,957.0,0,0,0,1,0,0,0,3.0,5,10,0,1,0,-0.9723130819444791
-0.871,5416.0,0,0,0,0,0,1,0,5.0,5,11,0,0,0,-0.6219239256240141
-4.295,386.0,0,0,1,0,0,0,0,2.0,5,12,0,1,0,-4.575687850708665
-6.315,11152.0,0,0,0,0,0,0,1,6.0,5,13,0,0,0,-6.512959546354603
-2.503,299.0,0,1,0,0,0,0,0,1.0,5,14,0,0,0,-3.204931697603538
-3.735,1539.0,0,0,0,0,1,0,0,4.0,5,15,0,1,0,-4.511685557059629
-2.995,1287.0,0,0,0,1,0,0,0,3.0,5,16,0,1,0,-2.450734443114447
-1.227,327.0,0,1,0,0,0,0,0,1.0,5,17,0,0,0,-1.8489635468074888
-1.167,592.0,0,0,1,0,0,0,0,2.0,5,18,0,1,0,-1.0122012986816942
-0.845,4259.0,0,0,0,0,0,1,0,5.0,5,19,0,0,0,-0.8369923572552019
-8.434,9453.0,0,0,0,0,0,0,1,6.0,6,1,0,0,0,-7.1783973904982625
-5.433,894.0,0,0,0,1,0,0,0,3.0,6,2,0,0,1,-5.4711852505947265
-8.061,1025.0,0,0,0,1,0,0,0,3.0,6,3,0,0,0,-8.181042126263073
-6.184,3906.0,0,0,0,0,0,1,0,5.0,6,4,0,0,0,-6.464832394477115
-5.363,550.0,0,0,1,0,0,0,0,2.0,6,5,0,0,0,-6.2275121589457
-3.717,1188.0,0,0,0,1,0,0,0,3.0,6,7,0,0,0,-3.564033150003669
-2.088,689.0,0,0,1,0,0,0,0,2.0,6,8,0,0,0,-2.1252138503332154
-7.63,1531.0,0,0,0,0,1,0,0,4.0,6,9,0,0,0,-7.843622743155297
-3.251,1368.0,0,0,0,1,0,0,0,3.0,6,10,0,0,0,-3.0639070866131393
-2.485,4873.0,0,0,0,0,0,1,0,5.0,6,11,0,0,0,-2.6776060759302527
-6.972,936.0,0,0,0,1,0,0,0,3.0,6,12,0,0,0,-7.034736739828118
-9.903,10604.0,0,0,0,0,0,0,1,6.0,6,13,0,0,0,-8.568641696660835
-4.888,491.0,0,0,1,0,0,0,0,2.0,6,14,0,0,1,-5.28804328081406
-5.861,2089.0,0,0,0,0,1,0,0,4.0,6,15,0,0,0,-6.603279561728295
