trade,distance,border,bin375,bin750,bin1500,bin3000,bin6000,binmax,distbin,importer,exporter,sharedlanguage,europeancom,efta,trademodel
-7.41,9891.0,0,0,0,0,0,0,1,6.0,1,2,0,0,0,-7.828666231290109
-10.074,10389.0,0,0,0,0,0,0,1,6.0,1,3,0,0,0,-10.394335873635546
-5.826,10009.0,0,0,0,0,0,0,1,6.0,1,4,1,0,0,-5.558589889817514
-8.206,9968.0,0,0,0,0,0,0,1,6.0,1,5,0,0,0,-8.627415134882435
-6.461,9453.0,0,0,0,0,0,0,1,6.0,1,6,0,0,0,-7.088172001336821
-5.176,10517.0,0,0,0,0,0,0,1,6.0,1,7,0,0,0,-4.953991609836603
-3.918,9987.0,0,0,0,0,0,0,1,6.0,1,8,0,0,0,-3.7581306755163233
-9.092,9450.0,0,0,0,0,0,0,1,6.0,1,9,0,0,0,-9.769612292440211
-4.528,10073.0,0,0,0,0,0,0,1,6.0,1,10,0,0,0,-4.444338727066969
-2.04,4924.0,0,0,0,0,0,1,0,5.0,1,11,0,0,0,-1.5211893643574295
-8.801,10334.0,0,0,0,0,0,0,1,6.0,1,12,0,0,0,-9.055210533585877
-4.96,1443.0,0,0,0,1,0,0,0,3.0,1,13,1,0,0,-4.309291495857243
-8.137,9927.0,0,0,0,0,0,0,1,6.0,1,14,0,0,0,-8.031714092007258
-8.985,11221.0,0,0,0,0,0,0,1,6.0,1,15,0,0,0,-8.364328401215293
-6.688,10924.0,0,0,0,0,0,0,1,6.0,1,16,0,0,0,-6.195811495048223
-5.886,9699.0,0,0,0,0,0,0,1,6.0,1,17,0,0,0,-6.499802340669909
-4.04,769.0,0,0,0,0,0,0,1,6.0,1,18,1,0,0,-4.254503885804824
-2.179,9389.0,0,0,0,0,0,0,1,6.0,1,19,1,0,0,-1.7519159668063662
-7.942,9891.0,0,0,0,0,0,0,1,6.0,2,1,0,0,0,-6.999785473220536
-7.083,570.0,0,0,1,0,0,0,0,2.0,2,3,0,0,0,-7.459119732067093
-5.732,4091.0,0,0,0,0,0,1,0,5.0,2,4,0,0,0,-6.215432978537872
-6.113,545.0,0,0,1,0,0,0,0,2.0,2,5,0,0,0,-5.940126970179184
-4.788,894.0,0,0,0,1,0,0,0,3.0,2,6,0,0,1,-4.627574143003929
-2.866,645.0,0,0,1,0,0,0,0,2.0,2,7,0,0,0,-2.8059908497347945
-0.258,326.0,1,1,0,0,0,0,0,1.0,2,8,1,0,0,-0.2902993779302547
-6.428,795.0,0,0,0,1,0,0,0,3.0,2,9,0,0,0,-7.395848108634157
-1.721,475.0,1,0,1,0,0,0,0,2.0,2,10,0,0,0,-2.073365261149587
-1.935,5687.0,0,0,0,0,0,1,0,5.0,2,11,0,0,0,-2.201682361293667
-6.212,583.0,0,0,1,0,0,0,0,2.0,2,12,0,0,0,-6.307607035738702
-9.063,11276.0,0,0,0,0,0,0,1,6.0,2,13,0,0,0,-8.488363766554976
-6.198,842.0,0,0,0,1,0,0,0,3.0,2,14,0,0,1,-5.435574674127215
-5.654,1429.0,0,0,0,1,0,0,0,3.0,2,15,0,0,0,-6.158048522349988
-4.246,1126.0,0,0,0,1,0,0,0,3.0,2,16,0,0,0,-4.257411205172332
-4.205,775.0,0,0,0,1,0,0,0,3.0,2,17,0,0,1,-4.125145649143092
-3.385,769.0,0,0,0,1,0,0,0,3.0,2,18,0,0,0,-3.1776402914688107
-2.559,4700.0,0,0,0,0,0,1,0,5.0,2,19,0,0,0,-2.428916746124712
-1.291,10389.0,0,0,0,0,0,0,1,6.0,3,1,0,0,0,-0.2296665276885422
-0.484,570.0,0,0,1,0,0,0,0,2.0,3,2,0,0,0,-0.06376612445317426
-1.074,3535.0,0,0,0,0,0,1,0,5.0,3,4,0,0,0,0.10704057399941092
-1.593,475.0,0,0,1,0,0,0,0,2.0,3,5,0,1,0,-0.3831833764951457
-0.44,1025.0,0,0,0,1,0,0,0,3.0,3,6,0,0,0,0.22793944451268336
3.099,165.0,1,1,0,0,0,0,0,1.0,3,7,1,1,0,1.0411220989534233
3.758,403.0,1,0,1,0,0,0,0,2.0,3,8,0,1,0,1.4758481678142394
-2.722,1298.0,0,0,0,1,0,0,0,3.0,3,9,0,1,0,-0.8470954090886134
2.329,735.0,0,0,1,0,0,0,0,2.0,3,10,0,1,0,1.228460878139088
2.167,5887.0,0,0,0,0,0,1,0,5.0,3,11,0,0,0,1.7432226958187211
0.254,106.0,1,1,0,0,0,0,0,1.0,3,12,0,1,0,-0.5559295466846661
-2.502,11626.0,0,0,0,0,0,0,1,6.0,3,13,0,0,0,-0.8797721488237162
-0.755,675.0,0,0,1,0,0,0,0,2.0,3,14,0,0,0,-0.14448442939301484
-1.272,1064.0,0,0,0,1,0,0,0,3.0,3,15,0,1,0,-0.2774779157040134
0.889,817.0,0,0,0,1,0,0,0,3.0,3,16,0,1,0,0.5731674882169305
0.69,798.0,0,0,0,1,0,0,0,3.0,3,17,0,0,0,0.4563768900074261
2.381,199.0,0,1,0,0,0,0,0,1.0,3,18,0,1,0,1.0410169845189594
2.734,4153.0,0,0,0,0,0,1,0,5.0,3,19,0,0,0,1.6552744042895478
-5.926,10009.0,0,0,0,0,0,0,1,6.0,4,1,1,0,0,-5.5092988940884
-6.502,4091.0,0,0,0,0,0,1,0,5.0,4,2,0,0,0,-6.869683491825897
-9.442,3535.0,0,0,0,0,0,1,0,5.0,4,3,0,0,0,-9.237019676810565
-7.796,3675.0,0,0,0,0,0,1,0,5.0,4,5,0,0,0,-7.603074217463489
-6.096,3906.0,0,0,0,0,0,1,0,5.0,4,6,0,0,0,-6.193278390933893
-4.037,3519.0,0,0,0,0,0,1,0,5.0,4,7,0,0,0,-4.268102211599583
-3.429,3816.0,0,0,0,0,0,1,0,5.0,4,8,0,0,0,-3.2084459762576767
-8.851,4822.0,0,0,0,0,0,1,0,5.0,4,9,0,0,0,-8.6577517933176
-3.958,4198.0,0,0,0,0,0,1,0,5.0,4,10,0,0,0,-3.814682885440234
-1.71,6429.0,0,0,0,0,0,0,1,6.0,4,11,0,0,0,-2.32326786011186
